edp_site_id,date_of_first_data,date_of_last_data,
S0035,1/1/18 0:00,12/20/19 8:35,
S0086,1/1/18 0:00,12/31/19 23:55,
S0134,8/19/19 12:30,12/18/20 16:25,
S0131,1/1/19 0:00,4/30/21 15:05,
S0038,1/1/18 0:00,7/30/21 12:10,
S0051,1/1/18 0:00,7/30/21 12:15,
S0079,1/1/18 0:00,7/30/21 12:15,
S0017,1/1/18 0:00,10/20/21 15:25,
S0055,9/23/19 9:25,10/31/21 20:50,
S0045,3/22/19 10:45,10/31/21 20:50,
S0009,6/20/18 11:00,10/31/21 20:50,
S0014,1/1/18 0:00,10/31/21 20:50,
S0015,1/1/18 0:00,10/31/21 20:50,
S0028,1/1/18 0:00,10/31/21 20:50,
S0033,1/1/18 0:00,10/31/21 20:50,
S0047,1/1/18 0:00,10/31/21 20:50,
S0048,1/1/18 0:00,10/31/21 20:50,
S0056,1/1/18 0:00,10/31/21 20:50,
S0057,1/1/18 0:00,10/31/21 20:50,
S0071,1/1/18 0:00,10/31/21 20:50,
S0072,1/1/18 0:00,10/31/21 20:50,
S0073,1/1/18 0:00,10/31/21 20:50,
S0023,1/1/18 0:00,10/31/21 21:20,
S0026,1/1/18 0:00,10/31/21 21:20,
S0029,1/1/18 0:00,10/31/21 21:20,
S0030,1/1/18 0:00,10/31/21 21:20,
S0059,1/1/18 0:00,10/31/21 21:20,
S0069,1/1/18 0:00,10/31/21 21:20,
S0042,1/1/18 0:00,10/31/21 21:25,
S0001,1/1/18 0:00,10/31/21 21:50,
S0003,1/1/18 0:00,10/31/21 21:50,
S0004,1/1/18 0:00,10/31/21 21:50,
S0006,1/1/18 0:00,10/31/21 21:50,
S0007,1/1/18 0:00,10/31/21 21:50,
S0011,1/1/18 0:00,10/31/21 21:50,
S0012,1/1/18 0:00,10/31/21 21:50,
S0016,1/1/18 0:00,10/31/21 21:50,
S0018,1/1/18 0:00,10/31/21 21:50,
S0019,1/1/18 0:00,10/31/21 21:50,
S0021,1/1/18 0:00,10/31/21 21:50,
S0022,1/1/18 0:00,10/31/21 21:50,
S0025,1/1/18 0:00,10/31/21 21:50,
S0027,1/1/18 0:00,10/31/21 21:50,
S0032,1/1/18 0:00,10/31/21 21:50,
S0036,1/1/18 0:00,10/31/21 21:50,
S0037,1/1/18 0:00,10/31/21 21:50,
S0039,1/1/18 0:00,10/31/21 21:50,
S0044,1/1/18 0:00,10/31/21 21:50,
S0052,1/1/18 0:00,10/31/21 21:50,
S0053,1/1/18 0:00,10/31/21 21:50,
S0054,1/1/18 0:00,10/31/21 21:50,
S0058,1/1/18 0:00,10/31/21 21:50,
S0060,1/1/18 0:00,10/31/21 21:50,
S0062,1/1/18 0:00,10/31/21 21:50,
S0063,1/1/18 0:00,10/31/21 21:50,
S0064,1/1/18 0:00,10/31/21 21:50,
S0065,1/1/18 0:00,10/31/21 21:50,
S0066,1/1/18 0:00,10/31/21 21:50,
S0067,1/1/18 0:00,10/31/21 21:50,
S0068,1/1/18 0:00,10/31/21 21:50,
S0077,1/1/18 0:00,10/31/21 21:50,
S0043,6/26/19 13:10,10/31/21 21:55,
S0070,9/16/18 3:25,10/31/21 21:55,
S0074,6/1/18 11:35,10/31/21 21:55,
S0046,1/1/18 0:00,10/31/21 22:15,
S0132,1/1/19 0:00,4/10/22 7:00,
S0292,1/1/19 0:00,6/23/22 19:05,
W0067,6/19/21 9:00,8/24/22 8:50,
S0575,1/1/19 0:00,9/23/22 7:45,
S0196,2/7/22 19:55,9/29/22 9:30,
S0236,11/1/21 16:10,9/30/22 23:55,
S0278,1/1/21 0:00,9/30/22 23:55,
S0121,1/1/18 0:00,9/30/22 23:55,
S0095,1/1/18 0:00,10/13/22 4:15,
W0033,10/30/19 10:25,10/25/22 13:45,
S0388,1/1/19 0:00,11/5/22 21:00,
S0094,1/1/18 0:00,11/13/22 3:40,
S0098,1/1/18 0:00,12/7/22 14:45,
S0105,12/22/21 12:15,12/22/22 11:20,
S0263,1/1/19 0:00,12/30/22 11:25,
S0484,3/17/22 0:00,1/9/23 2:40,
S0332,9/16/21 8:45,1/31/23 23:55,
S0373,3/31/21 16:45,1/31/23 23:55,
S0598,11/29/20 19:35,1/31/23 23:55,
S0265,10/27/20 14:30,1/31/23 23:55,
S0453,10/19/20 14:40,1/31/23 23:55,
S0486,11/26/19 11:50,1/31/23 23:55,
S0336,11/6/19 11:30,1/31/23 23:55,
S0248,7/25/19 8:55,1/31/23 23:55,
S0510,1/31/19 17:30,1/31/23 23:55,
S0161,1/1/19 0:00,1/31/23 23:55,
S0534,1/1/19 0:00,1/31/23 23:55,
W0090,10/17/19 13:10,2/3/23 13:35,
S0223,1/1/19 0:00,2/20/23 7:20,
S0080,10/27/21 9:05,2/21/23 14:35,
W0055,2/9/21 11:30,3/14/23 11:05,
S0138,1/1/19 0:00,3/21/23 8:40,
W0034,9/16/20 12:15,3/28/23 14:55,
S0481,1/1/19 0:00,4/25/23 11:10,
S0597,1/1/19 0:00,5/27/23 13:40,
W0036,5/28/21 13:20,6/13/23 7:40,
W0053,11/3/20 13:00,7/1/23 14:20,
S0148,1/1/19 0:00,7/3/23 17:55,
S0419,1/1/19 0:00,7/4/23 17:35,
W0176,4/27/21 14:25,7/9/23 8:25,
W0041,11/26/20 10:05,7/18/23 20:45,
W0083,2/28/21 20:25,7/21/23 16:20,
S0207,1/1/19 0:00,7/29/23 7:45,
S0293,2/21/20 13:55,8/13/23 10:20,
S0285,4/28/21 11:30,8/21/23 6:20,
W0256,5/4/21 14:05,8/24/23 9:10,
W0020,9/21/20 13:40,8/24/23 11:50,
W0025,9/18/20 13:25,8/25/23 10:00,
W0100,9/28/20 8:25,8/25/23 10:30,
W0239,3/5/21 13:00,8/28/23 12:50,
W0086,9/23/20 11:05,8/28/23 14:15,
W0064,10/12/20 13:55,8/30/23 23:10,
W0045,9/16/20 14:00,8/31/23 1:25,
W0007,4/21/21 10:25,9/12/23 11:25,
S0034,5/11/20 16:05,9/19/23 11:10,
S0577,9/30/20 15:50,9/20/23 20:10,
S0397,10/8/20 13:20,9/20/23 21:40,
S0352,9/21/21 14:40,9/20/23 22:10,
S0123,1/1/18 0:00,9/22/23 12:05,
S0204,1/1/19 0:00,9/25/23 0:05,
S0113,1/1/18 0:00,9/27/23 4:30,
S0595,8/13/20 12:15,10/9/23 15:50,
S0307,7/9/21 13:40,10/10/23 23:00,
S0360,10/17/19 0:00,10/11/23 15:45,
S0205,9/2/21 11:20,10/11/23 18:55,
W0262,1/4/22 15:00,10/12/23 14:35,
W0080,11/12/20 13:15,10/19/23 11:50,
S0290,1/1/19 0:00,11/4/23 2:55,
S0271,1/1/19 0:00,11/9/23 4:45,
S0520,2/24/20 15:45,11/14/23 23:40,
W0099,12/18/21 14:25,11/16/23 16:40,
S0489,1/1/19 0:00,11/22/23 9:00,
W0285,6/9/22 10:30,12/2/23 0:00,
S0108,1/1/18 0:00,12/4/23 21:35,
S0103,12/8/21 13:30,12/9/23 17:10,
W0136,5/2/22 14:55,12/11/23 9:25,
W0309,6/27/22 13:15,12/14/23 20:35,
W0242,10/6/21 12:15,12/20/23 11:30,
S0198,11/21/20 14:45,12/22/23 12:05,
S0202,6/21/19 10:10,12/30/23 13:40,
S0116,1/1/18 0:00,1/4/24 11:15,x
W0340,10/4/22 14:10,1/9/24 8:25,
W0172,11/30/21 16:40,1/9/24 21:55,
S0473,1/1/19 0:00,1/10/24 13:20,
S0109,1/1/18 0:00,1/15/24 2:05,
S0589,8/28/20 10:30,1/15/24 5:50,
W0255,1/20/22 18:20,1/17/24 8:05,
S0112,1/1/18 0:00,1/17/24 14:15,
W0171,6/16/22 9:50,1/19/24 5:50,
W0344,3/16/22 13:40,1/22/24 1:05,
S0082,1/1/18 0:00,1/23/24 19:30,
S0128,1/1/18 0:00,1/24/24 1:10,
S0528,1/1/19 0:00,1/24/24 17:35,
W0219,12/7/21 14:35,1/24/24 19:15,
S0231,1/1/19 0:00,1/25/24 14:05,
W0031,12/21/20 9:25,1/26/24 5:50,
S0464,8/9/19 15:05,1/27/24 10:35,
S0126,1/1/18 0:00,1/27/24 13:15,
W0060,10/29/20 14:50,1/28/24 19:55,
W0162,12/15/21 10:20,1/29/24 8:50,
S0104,1/1/18 0:00,1/31/24 1:10,
S0383,3/6/19 0:00,1/31/24 23:55,
S0284,1/1/19 0:00,1/31/24 23:55,
S0358,1/1/19 0:00,2/2/24 6:40,
S0002,1/1/18 0:00,2/3/24 19:45,
W0121,7/6/21 12:35,2/6/24 18:30,
S0049,1/1/18 0:00,2/8/24 0:15,
W0015,12/21/20 8:35,2/8/24 18:15,
S0118,1/1/18 0:00,2/10/24 9:20,
S0125,1/1/18 0:00,2/10/24 9:30,
S0210,1/1/19 0:00,2/13/24 11:25,
S0085,1/1/18 0:00,2/13/24 12:40,
S0264,1/1/19 0:00,2/13/24 15:40,
W0189,5/17/22 14:30,2/13/24 17:05,
S0266,6/15/20 16:30,2/13/24 17:30,
W0321,9/15/21 14:00,2/16/24 2:35,
W0117,1/24/22 11:40,2/17/24 22:10,
S0238,1/1/19 0:00,2/18/24 8:30,
S0426,7/5/19 0:00,2/19/24 3:10,
S0097,1/1/18 0:00,2/19/24 16:05,
S0115,1/1/18 0:00,2/20/24 1:20,
S0133,1/1/19 0:00,2/21/24 7:55,
S0024,1/27/21 12:50,2/21/24 12:20,
S0084,1/1/18 0:00,2/21/24 13:55,
S0155,10/13/20 10:25,2/22/24 9:50,
S0170,3/8/21 11:15,2/23/24 17:40,
S0092,1/1/18 0:00,2/24/24 7:15,
S0124,2/1/18 12:55,2/25/24 7:50,
S0114,1/1/18 0:00,2/26/24 14:00,
S0192,1/1/19 0:00,2/27/24 16:00,
S0420,1/1/19 0:00,2/27/24 16:00,
S0460,1/1/19 0:00,2/27/24 16:00,
S0529,1/1/19 0:00,2/27/24 16:00,
S0348,4/8/21 0:00,2/27/24 16:05,
S0492,3/21/19 13:00,2/27/24 16:05,
S0154,1/1/19 0:00,2/27/24 16:05,
S0182,1/1/19 0:00,2/27/24 16:05,
S0189,1/1/19 0:00,2/27/24 16:05,
S0190,1/1/19 0:00,2/27/24 16:05,
S0280,1/1/19 0:00,2/27/24 16:05,
S0294,1/1/19 0:00,2/27/24 16:05,
S0377,1/1/19 0:00,2/27/24 16:05,
S0384,1/1/19 0:00,2/27/24 16:05,
S0394,1/1/19 0:00,2/27/24 16:05,
S0409,1/1/19 0:00,2/27/24 16:05,
S0434,1/1/19 0:00,2/27/24 16:05,
S0448,1/1/19 0:00,2/27/24 16:05,
S0454,1/1/19 0:00,2/27/24 16:05,
S0500,1/1/19 0:00,2/27/24 16:05,
S0540,1/1/19 0:00,2/27/24 16:05,
S0543,1/1/19 0:00,2/27/24 16:05,
S0493,7/24/19 14:15,2/27/24 16:30,
S0463,3/13/19 0:00,2/27/24 16:30,
S0143,1/1/19 0:00,2/27/24 16:30,
S0296,1/1/19 0:00,2/27/24 16:30,
S0378,1/1/19 0:00,2/27/24 16:30,
S0379,1/1/19 0:00,2/27/24 16:30,
S0386,1/1/19 0:00,2/27/24 16:30,
S0416,1/1/19 0:00,2/27/24 16:30,
S0422,1/1/19 0:00,2/27/24 16:30,
S0549,1/1/19 0:00,2/27/24 16:30,
S0237,8/8/19 0:00,2/27/24 16:35,
S0368,7/24/19 0:00,2/27/24 16:35,
S0593,6/25/19 0:00,2/27/24 16:35,
S0451,6/7/19 0:00,2/27/24 16:35,
S0391,5/16/19 0:00,2/27/24 16:35,
S0499,5/6/19 0:00,2/27/24 16:35,
S0357,5/1/19 9:35,2/27/24 16:35,
S0324,4/10/19 11:50,2/27/24 16:35,
S0477,3/8/19 7:30,2/27/24 16:35,
S0456,3/4/19 0:00,2/27/24 16:35,
S0542,1/22/19 0:00,2/27/24 16:35,
S0550,1/22/19 0:00,2/27/24 16:35,
S0152,1/1/19 0:00,2/27/24 16:35,
S0178,1/1/19 0:00,2/27/24 16:35,
S0183,1/1/19 0:00,2/27/24 16:35,
S0184,1/1/19 0:00,2/27/24 16:35,
S0186,1/1/19 0:00,2/27/24 16:35,
S0187,1/1/19 0:00,2/27/24 16:35,
S0291,1/1/19 0:00,2/27/24 16:35,
S0309,1/1/19 0:00,2/27/24 16:35,
S0312,1/1/19 0:00,2/27/24 16:35,
S0331,1/1/19 0:00,2/27/24 16:35,
S0338,1/1/19 0:00,2/27/24 16:35,
S0343,1/1/19 0:00,2/27/24 16:35,
S0354,1/1/19 0:00,2/27/24 16:35,
S0361,1/1/19 0:00,2/27/24 16:35,
S0372,1/1/19 0:00,2/27/24 16:35,
S0382,1/1/19 0:00,2/27/24 16:35,
S0392,1/1/19 0:00,2/27/24 16:35,
S0399,1/1/19 0:00,2/27/24 16:35,
S0400,1/1/19 0:00,2/27/24 16:35,
S0404,1/1/19 0:00,2/27/24 16:35,
S0461,1/1/19 0:00,2/27/24 16:35,
S0462,1/1/19 0:00,2/27/24 16:35,
S0471,1/1/19 0:00,2/27/24 16:35,
S0476,1/1/19 0:00,2/27/24 16:35,
S0490,1/1/19 0:00,2/27/24 16:35,
S0491,1/1/19 0:00,2/27/24 16:35,
S0504,1/1/19 0:00,2/27/24 16:35,
S0507,1/1/19 0:00,2/27/24 16:35,
S0508,1/1/19 0:00,2/27/24 16:35,
S0518,1/1/19 0:00,2/27/24 16:35,
S0519,1/1/19 0:00,2/27/24 16:35,
S0555,1/1/19 0:00,2/27/24 16:35,
S0556,1/1/19 0:00,2/27/24 16:35,
S0572,1/1/19 0:00,2/27/24 16:35,
S0574,1/1/19 0:00,2/27/24 16:35,
S0319,1/1/19 0:00,2/28/24 3:35,
S0242,1/1/19 0:00,2/28/24 6:45,
S0582,6/23/21 14:20,2/28/24 8:30,
W0150,3/29/22 15:15,2/28/24 16:50,
S0107,1/1/18 0:00,2/28/24 17:35,
S0008,4/28/21 16:55,2/28/24 19:10,
S0297,12/9/21 17:55,2/29/24 1:15,
S0119,1/1/18 0:00,2/29/24 11:00,
S0031,3/2/18 10:15,2/29/24 13:35,
S0101,10/28/21 12:40,2/29/24 17:30,
S0442,11/22/21 13:15,2/29/24 18:35,
S0135,1/1/19 0:00,2/29/24 19:10,
S0345,1/21/21 10:15,2/29/24 19:30,
W0122,6/10/21 11:40,2/29/24 19:40,
S0005,1/1/18 0:00,2/29/24 19:40,
W0208,8/1/22 17:35,2/29/24 23:40,
W0203,12/14/21 15:55,2/29/24 23:50,
W0218,9/26/22 14:40,2/29/24 23:55,
W0212,9/19/22 14:45,2/29/24 23:55,
W0157,9/13/22 15:55,2/29/24 23:55,
W0105,9/7/22 15:15,2/29/24 23:55,
W0116,9/2/22 14:00,2/29/24 23:55,
W0272,8/31/22 10:15,2/29/24 23:55,
W0223,8/18/22 11:40,2/29/24 23:55,
W0350,8/15/22 14:35,2/29/24 23:55,
W0234,8/15/22 14:00,2/29/24 23:55,
W0128,8/12/22 12:45,2/29/24 23:55,
W0286,8/9/22 14:50,2/29/24 23:55,
W0296,8/8/22 13:35,2/29/24 23:55,
W0252,8/5/22 14:20,2/29/24 23:55,
W0184,8/4/22 16:30,2/29/24 23:55,
W0180,8/4/22 7:50,2/29/24 23:55,
W0147,8/2/22 16:10,2/29/24 23:55,
W0204,8/2/22 11:00,2/29/24 23:55,
W0173,7/28/22 9:10,2/29/24 23:55,
W0265,7/27/22 11:15,2/29/24 23:55,
W0316,7/26/22 16:45,2/29/24 23:55,
W0102,7/26/22 11:50,2/29/24 23:55,
W0123,7/22/22 15:20,2/29/24 23:55,
W0169,7/21/22 15:05,2/29/24 23:55,
W0134,7/21/22 14:00,2/29/24 23:55,
W0131,7/21/22 12:35,2/29/24 23:55,
W0206,7/19/22 14:15,2/29/24 23:55,
W0259,7/19/22 12:35,2/29/24 23:55,
W0139,7/19/22 11:30,2/29/24 23:55,
W0108,7/18/22 13:50,2/29/24 23:55,
W0326,7/14/22 13:10,2/29/24 23:55,
W0174,7/13/22 14:50,2/29/24 23:55,
W0313,7/13/22 8:05,2/29/24 23:55,
W0311,7/12/22 14:15,2/29/24 23:55,
W0245,7/4/22 15:30,2/29/24 23:55,
W0339,7/1/22 10:15,2/29/24 23:55,
W0214,6/23/22 14:30,2/29/24 23:55,
W0170,6/20/22 15:20,2/29/24 23:55,
W0331,6/20/22 15:15,2/29/24 23:55,
W0113,6/15/22 14:50,2/29/24 23:55,
W0129,6/12/22 16:05,2/29/24 23:55,
W0230,6/11/22 20:20,2/29/24 23:55,
W0210,6/8/22 15:05,2/29/24 23:55,
W0249,6/7/22 8:50,2/29/24 23:55,
W0270,6/6/22 14:55,2/29/24 23:55,
W0151,6/3/22 13:50,2/29/24 23:55,
W0282,5/31/22 14:50,2/29/24 23:55,
W0328,5/25/22 13:00,2/29/24 23:55,
W0225,5/25/22 11:30,2/29/24 23:55,
W0261,5/21/22 10:40,2/29/24 23:55,
W0196,5/9/22 10:10,2/29/24 23:55,
W0295,5/7/22 12:35,2/29/24 23:55,
W0268,5/5/22 16:15,2/29/24 23:55,
W0246,5/2/22 10:55,2/29/24 23:55,
W0126,4/30/22 17:40,2/29/24 23:55,
W0238,4/29/22 15:05,2/29/24 23:55,
W0167,4/22/22 16:40,2/29/24 23:55,
W0201,4/14/22 13:35,2/29/24 23:55,
W0191,4/13/22 11:15,2/29/24 23:55,
W0146,4/12/22 12:55,2/29/24 23:55,
W0165,4/7/22 14:40,2/29/24 23:55,
W0163,4/6/22 13:40,2/29/24 23:55,
W0267,4/4/22 14:45,2/29/24 23:55,
W0178,4/3/22 15:10,2/29/24 23:55,
W0301,4/1/22 13:55,2/29/24 23:55,
W0287,3/31/22 15:25,2/29/24 23:55,
W0306,3/28/22 14:35,2/29/24 23:55,
W0277,3/21/22 13:10,2/29/24 23:55,
W0125,3/21/22 12:50,2/29/24 23:55,
W0149,3/18/22 14:05,2/29/24 23:55,
W0290,3/18/22 12:45,2/29/24 23:55,
W0115,3/17/22 17:00,2/29/24 23:55,
W0209,3/15/22 13:45,2/29/24 23:55,
W0153,3/10/22 15:10,2/29/24 23:55,
W0320,3/10/22 9:25,2/29/24 23:55,
W0349,3/7/22 10:30,2/29/24 23:55,
W0188,3/3/22 19:05,2/29/24 23:55,
S0429,3/3/22 16:25,2/29/24 23:55,
W0069,3/2/22 13:10,2/29/24 23:55,
W0300,3/1/22 13:50,2/29/24 23:55,
W0159,2/21/22 15:00,2/29/24 23:55,
S0020,2/17/22 15:10,2/29/24 23:55,
S0255,2/17/22 11:55,2/29/24 23:55,
S0214,2/17/22 10:35,2/29/24 23:55,
S0583,2/16/22 15:40,2/29/24 23:55,
S0041,2/16/22 14:25,2/29/24 23:55,
S0010,2/16/22 12:15,2/29/24 23:55,
W0351,2/16/22 10:45,2/29/24 23:55,
W0292,2/15/22 15:50,2/29/24 23:55,
W0248,2/15/22 15:15,2/29/24 23:55,
S0552,2/14/22 13:25,2/29/24 23:55,
W0215,2/9/22 12:35,2/29/24 23:55,
W0289,2/8/22 13:50,2/29/24 23:55,
W0337,2/8/22 12:35,2/29/24 23:55,
W0322,2/7/22 14:40,2/29/24 23:55,
S0288,2/3/22 12:55,2/29/24 23:55,
W0056,2/3/22 11:20,2/29/24 23:55,
W0072,1/28/22 14:50,2/29/24 23:55,
S0515,1/28/22 10:30,2/29/24 23:55,
S0260,1/27/22 11:30,2/29/24 23:55,
S0287,1/24/22 12:30,2/29/24 23:55,
W0308,1/24/22 9:50,2/29/24 23:55,
W0103,1/21/22 13:15,2/29/24 23:55,
W0257,1/21/22 9:55,2/29/24 23:55,
W0101,1/21/22 8:45,2/29/24 23:55,
W0327,1/18/22 16:55,2/29/24 23:55,
W0353,1/18/22 15:15,2/29/24 23:55,
W0288,1/17/22 18:35,2/29/24 23:55,
W0185,1/17/22 15:45,2/29/24 23:55,
W0222,1/13/22 10:10,2/29/24 23:55,
W0317,1/11/22 12:20,2/29/24 23:55,
W0227,12/20/21 9:20,2/29/24 23:55,
W0043,12/18/21 8:55,2/29/24 23:55,
W0156,12/17/21 17:05,2/29/24 23:55,
W0352,12/17/21 15:20,2/29/24 23:55,
S0252,12/17/21 13:25,2/29/24 23:55,
W0194,12/17/21 10:45,2/29/24 23:55,
W0247,12/15/21 12:40,2/29/24 23:55,
W0109,12/15/21 12:30,2/29/24 23:55,
W0062,12/14/21 15:05,2/29/24 23:55,
W0078,12/14/21 14:15,2/29/24 23:55,
W0166,12/14/21 13:15,2/29/24 23:55,
S0151,12/10/21 12:45,2/29/24 23:55,
S0140,12/10/21 9:25,2/29/24 23:55,
W0226,12/9/21 16:40,2/29/24 23:55,
W0217,12/9/21 14:25,2/29/24 23:55,
W0112,12/8/21 11:55,2/29/24 23:55,
W0104,12/6/21 16:35,2/29/24 23:55,
W0251,12/6/21 15:45,2/29/24 23:55,
W0152,11/30/21 17:00,2/29/24 23:55,
W0145,11/30/21 16:00,2/29/24 23:55,
W0213,11/30/21 12:15,2/29/24 23:55,
S0495,11/29/21 15:30,2/29/24 23:55,
W0143,11/29/21 14:10,2/29/24 23:55,
W0312,11/23/21 13:05,2/29/24 23:55,
W0135,11/22/21 17:10,2/29/24 23:55,
W0323,11/19/21 13:00,2/29/24 23:55,
W0279,11/19/21 10:20,2/29/24 23:55,
S0233,11/19/21 1:30,2/29/24 23:55,
W0019,11/17/21 10:05,2/29/24 23:55,
W0161,11/16/21 15:15,2/29/24 23:55,
S0117,11/16/21 14:30,2/29/24 23:55,
S0088,11/16/21 11:35,2/29/24 23:55,
W0341,11/15/21 17:35,2/29/24 23:55,
W0211,11/15/21 16:20,2/29/24 23:55,
W0276,11/15/21 15:35,2/29/24 23:55,
W0012,11/14/21 15:15,2/29/24 23:55,
S0547,11/12/21 14:50,2/29/24 23:55,
W0281,11/10/21 17:25,2/29/24 23:55,
W0187,11/10/21 10:35,2/29/24 23:55,
W0347,11/9/21 16:05,2/29/24 23:55,
W0241,11/5/21 10:15,2/29/24 23:55,
W0304,11/4/21 14:45,2/29/24 23:55,
S0181,11/3/21 15:00,2/29/24 23:55,
W0269,11/3/21 11:40,2/29/24 23:55,
W0283,11/3/21 8:15,2/29/24 23:55,
S0480,11/2/21 10:05,2/29/24 23:55,
W0138,10/29/21 11:20,2/29/24 23:55,
S0584,10/29/21 9:50,2/29/24 23:55,
S0253,10/28/21 10:55,2/29/24 23:55,
W0220,10/26/21 16:40,2/29/24 23:55,
W0127,10/26/21 12:00,2/29/24 23:55,
W0275,10/25/21 15:00,2/29/24 23:55,
W0010,10/25/21 9:00,2/29/24 23:55,
W0228,10/22/21 14:10,2/29/24 23:55,
S0441,10/22/21 7:40,2/29/24 23:55,
W0106,10/19/21 16:30,2/29/24 23:55,
W0274,10/18/21 14:35,2/29/24 23:55,
S0497,10/18/21 0:00,2/29/24 23:55,
W0229,10/15/21 14:05,2/29/24 23:55,
S0163,10/12/21 10:25,2/29/24 23:55,
W0224,10/11/21 13:35,2/29/24 23:55,
W0200,10/8/21 14:40,2/29/24 23:55,
S0402,9/25/21 10:50,2/29/24 23:55,
S0355,9/22/21 12:50,2/29/24 23:55,
W0233,9/22/21 8:50,2/29/24 23:55,
W0333,9/21/21 11:00,2/29/24 23:55,
W0164,9/18/21 16:00,2/29/24 23:55,
W0091,9/17/21 9:30,2/29/24 23:55,
W0093,9/13/21 14:35,2/29/24 23:55,
S0445,9/13/21 12:05,2/29/24 23:55,
W0236,9/8/21 12:00,2/29/24 23:55,
S0521,9/8/21 11:45,2/29/24 23:55,
S0527,9/7/21 14:05,2/29/24 23:55,
W0307,9/1/21 10:55,2/29/24 23:55,
W0148,8/31/21 13:40,2/29/24 23:55,
